Nome;Squadra;Qt.A;FVM M;RM;Pv(2024);Fm(2024);Gf(2024);Pv(2023);Fm(2023);Gf(2023);Ass(2023);Amm(2023);Esp(2023)
Pedersen;Torino;6;5;E;1;5,5;0;23;5,72;0;2;4;0
Giannetti L.;Udinese;6;7;Dc;3;7;1;7;5,64;1;0;4;0
Frese;Verona;6;6;"Ds;E";3;5,83;0;NP;NP;NP;NP;NP;NP
Circati;Parma;6;4;Dc;3;6;0;NP;NP;NP;NP;NP;NP
Van Der Brempt;Como;6;4;"Dd;E";1;6,5;0;NP;NP;NP;NP;NP;NP
Zampano;Venezia;5;5;"Dd;Ds;E";3;5,83;0;NP;NP;NP;NP;NP;NP
Martin;Genoa;5;7;"Ds;E";3;6,17;0;20;5,92;0;2;2;1
Lazaro;Torino;5;4;E;3;6,17;0;30;6,07;0;3;3;0
Augello;Cagliari;5;4;"Ds;E";3;5,67;0;32;5,81;1;1;5;0
Dawidowicz;Verona;5;4;Dc;3;5,5;0;26;5,6;0;0;5;0
Gallo;Lecce;5;6;"Ds;E";3;5,5;0;34;6;0;3;2;0
Carboni A.;Monza;5;5;"Ds;Dc";1;6;0;21;6;1;0;1;0
Caldirola;Monza;5;4;"Ds;Dc";3;5,67;0;29;5,78;1;0;5;1
Bradaric;Verona;5;4;"Ds;E";0;0;0;34;5,74;0;3;5;0
Daniliuc;Verona;5;4;"Dd;Dc";1;6;0;11;5,36;0;0;2;0
Kamara H.;Udinese;5;7;"Ds;E";2;5,25;0;31;6,1;1;0;4;0
De Winter;Genoa;5;5;"Dd;Dc";3;5,33;0;29;5,74;0;1;6;1
Coppola D.;Verona;5;4;Dc;3;5,83;0;20;5,92;2;0;9;0
Birindelli;Monza;5;5;"Dd;Ds;E";2;5,75;0;32;5,89;0;0;7;0
Kayode;Fiorentina;5;5;"Dd;Ds;E";1;6;0;26;6,17;1;1;2;0
Vogliacco;Genoa;5;2;"Dd;Dc";3;7,17;1;15;5,97;0;1;4;0
Delprato;Parma;5;8;"B;Dd;E";2;5;0;NP;NP;NP;NP;NP;NP
Idzes;Venezia;5;5;Dc;2;6,5;0;NP;NP;NP;NP;NP;NP
Sverko;Venezia;5;6;"B;Ds;E";3;5,83;0;NP;NP;NP;NP;NP;NP
Abdulhamid;Roma;5;6;"Dd;E";0;0;0;NP;NP;NP;NP;NP;NP
Juan Jesus;Napoli;4;3;"Ds;Dc";1;4,5;0;24;5,67;1;0;7;0
Patric;Lazio;4;6;"Dd;Dc";2;5;0;19;6,29;2;0;4;0
Toloi;Atalanta;4;5;Dc;1;5,5;0;14;5,68;0;0;4;1
Cuadrado;Atalanta;4;4;E;0;0;0;10;6,2;0;2;1;0
Lykogiannis;Bologna;4;6;"Ds;E";2;6;0;18;6,36;2;2;2;0
Kabasele;Udinese;4;2;Dc;2;6,25;0;10;5,8;1;0;5;0
Walukiewicz;Torino;4;3;Dc;2;5,75;0;27;5,65;0;0;6;0
Celik;Roma;4;6;"Dd;E";3;5,67;0;12;5,88;0;0;1;0
Osorio;Parma;4;3;Dc;1;5,5;0;NP;NP;NP;NP;NP;NP
Mazzocchi;Napoli;4;6;E;3;5,33;0;25;5,64;0;2;4;1
Svoboda;Venezia;4;4;Dc;3;5,67;0;NP;NP;NP;NP;NP;NP
Gila;Lazio;4;6;Dc;0;0;0;21;5,93;0;0;2;1
Bisseck;Inter;4;6;Dc;1;4,5;0;11;7;2;1;0;0
Azzi;Cagliari;4;4;"Dd;Ds;E";3;5,83;0;22;5,82;0;0;1;0
Kristensen T.;Udinese;4;4;Dc;0;0;0;26;5,75;0;1;2;1
Gaspar K.;Lecce;4;6;Dc;3;6;0;NP;NP;NP;NP;NP;NP
Coulibaly W.;Parma;4;8;"Dd;Ds;E";3;6,17;0;NP;NP;NP;NP;NP;NP
Savona;Juventus;4;7;"B;Dd;E";3;7,33;1;NP;NP;NP;NP;NP;NP
Moreno M.;Fiorentina;4;4;Dc;0;0;0;NP;NP;NP;NP;NP;NP
Kempf;Como;4;4;Dc;1;6;0;NP;NP;NP;NP;NP;NP
Hysaj;Lazio;3;4;"Dd;Ds;E";0;0;0;20;5,65;0;0;2;0
D'Ambrosio;Monza;3;3;"B;Dd;Ds";1;6;0;24;5,69;0;0;3;1
Magnani;Verona;3;3;Dc;2;5,75;0;30;5,9;0;0;6;0
Gabbia;Milan;3;5;Dc;0;0;0;17;6,26;2;0;5;0
Kalulu;Juventus;3;8;"Dd;Dc";0;0;0;7;5,86;0;0;0;0
Balogh;Parma;3;1;Dc;3;6,33;0;NP;NP;NP;NP;NP;NP
Altare;Venezia;3;4;Dc;3;5;0;0;0;0;0;0;0
Ebuehi;Empoli;3;3;"Dd;E";0;0;0;15;5,87;0;1;0;0
Cacace;Empoli;3;3;"Ds;E";2;5,75;0;28;5,66;0;1;6;0
Toure' I.s.;Udinese;3;3;Dc;0;0;0;NP;NP;NP;NP;NP;NP
Thiaw;Milan;3;5;Dc;1;2,5;0;20;5,4;0;0;5;1
Zemura;Udinese;3;2;"Ds;E";1;5,5;0;21;5,98;1;0;1;0
Wieteska;Cagliari;3;2;Dc;1;6,5;0;15;5,5;0;1;2;1
Iovine;Como;3;5;"Dd;E";2;5,5;0;NP;NP;NP;NP;NP;NP
Norton-Cuffy;Genoa;3;3;"Dd;E";0;0;0;NP;NP;NP;NP;NP;NP
Palacios T.;Inter;3;3;Dc;0;0;0;NP;NP;NP;NP;NP;NP
Jean;Lecce;3;2;Dc;1;6;0;NP;NP;NP;NP;NP;NP
Schingtienne;Venezia;3;4;"Dd;Dc";0;0;0;NP;NP;NP;NP;NP;NP
Barba;Como;2;4;"Ds;Dc";2;5;0;NP;NP;NP;NP;NP;NP
Mario Rui;Napoli;2;3;E;0;0;0;19;5,74;0;2;5;1
Goldaniga;Como;2;2;Dc;1;4,5;0;13;5,54;0;0;3;0
De Silvestri;Bologna;2;3;"Dd;E";0;0;0;12;6,67;2;0;0;0
Faraoni;Verona;2;3;"Dd;E";0;0;0;16;5,62;0;1;5;0
Bonifazi;Lecce;2;2;Dc;0;0;0;6;5,75;0;0;0;0
Pellegrini Lu.;Lazio;2;3;"Ds;E";0;0;0;17;5,76;1;0;5;1
Sala M.;Como;2;3;"Ds;E";1;4,5;0;NP;NP;NP;NP;NP;NP
Valenti;Parma;2;3;Dc;0;0;0;NP;NP;NP;NP;NP;NP
Sambia;Empoli;2;2;"Dd;E";0;0;0;16;6,09;1;2;4;0
Carboni F.;Venezia;2;2;"Ds;E";0;0;0;0;0;0;0;0;0
Comuzzo;Fiorentina;2;5;Dc;3;5,67;0;2;5,75;0;0;1;0
Goglichidze;Empoli;2;1;"Dd;Dc";1;6,5;0;0;0;0;0;0;0
Dahl;Roma;2;4;"Ds;E";0;0;0;NP;NP;NP;NP;NP;NP
Sagrado;Venezia;2;3;"Dd;E";1;5,5;0;NP;NP;NP;NP;NP;NP
Pelmard;Lecce;2;5;"Dd;Ds;Dc";0;0;0;NP;NP;NP;NP;NP;NP
Dembele' A.;Torino;2;2;E;2;6;0;NP;NP;NP;NP;NP;NP
Leoni;Parma;2;2;Dc;0;0;0;NP;NP;NP;NP;NP;NP
De Sciglio;Empoli;1;6;"Dd;Ds;E";0;0;0;1;6;0;0;0;0
Di Chiara;Parma;1;1;"Ds;E";0;0;0;NP;NP;NP;NP;NP;NP
Haps;Venezia;1;1;"Ds;E";1;5;0;14;6;0;1;0;0
Obert;Cagliari;1;2;Dc;0;0;0;13;5,31;0;0;1;0
Terracciano F.;Milan;1;1;"Dd;E";1;4,5;0;19;5,89;0;1;2;0
Ebosse;Udinese;1;1;"Ds;Dc";0;0;0;0;0;0;0;0;0
Abankwah;Udinese;1;1;"Dd;Dc";0;0;0;0;0;0;0;0;0
Matturro;Genoa;1;1;Dc;0;0;0;3;4,83;0;0;0;0
Okou;Verona;1;2;Dc;0;0;0;NP;NP;NP;NP;NP;NP
Corazza;Bologna;1;1;"Dd;Ds;E";0;0;0;5;5,8;0;0;1;0
Sazonov;Empoli;1;3;Dc;1;5;0;8;5,69;0;0;2;0
Ilic M.;Bologna;1;1;Dc;0;0;0;0;0;0;0;0;0
Ghilardi;Verona;1;1;Dc;0;0;0;NP;NP;NP;NP;NP;NP
Kovacik;Como;1;1;"Dd;E";0;0;0;NP;NP;NP;NP;NP;NP
Sangare' B.;Roma;1;1;"Dd;E";0;0;0;NP;NP;NP;NP;NP;NP
Marcandalli;Genoa;1;1;Dc;0;0;0;NP;NP;NP;NP;NP;NP
Rouhi;Juventus;1;1;"Ds;E";0;0;0;NP;NP;NP;NP;NP;NP
Marianucci;Empoli;1;1;Dc;0;0;0;NP;NP;NP;NP;NP;NP
Palestra;Atalanta;1;1;E;1;6;0;NP;NP;NP;NP;NP;NP
Pulisic;Milan;30;92;"T;A";3;7,33;1;36;7,5;12;7;2;0
Calhanoglu;Inter;28;94;"M;C";3;7,33;1;32;7,7;13;3;5;0
Koopmeiners;Juventus;27;83;T;1;5,5;0;34;7,53;12;5;5;0
Zaccagni;Lazio;26;74;"W;A";3;7;1;28;6,77;6;1;8;0
Politano;Napoli;22;32;W;3;5,5;0;37;6,89;8;7;2;1
Barella;Inter;22;40;C;3;8,33;1;37;6,53;2;3;7;0
Colpani;Fiorentina;22;42;T;3;5,5;0;38;6,92;8;4;1;0
Pellegrini Lo.;Roma;21;37;"C;T";3;5,83;0;29;6,95;8;3;7;0
Orsolini;Bologna;21;44;W;3;7;1;31;7,06;10;2;2;0
Man;Parma;21;51;"W;A";3;8,67;2;NP;NP;NP;NP;NP;NP
Neres;Napoli;21;41;"W;A";2;7,75;0;NP;NP;NP;NP;NP;NP
Douglas Luiz;Juventus;20;30;C;3;6;0;NP;NP;NP;NP;NP;NP
Frattesi;Inter;18;30;"C;T";2;6,75;0;28;7;6;3;1;0
Loftus-Cheek;Milan;18;26;"C;T";3;5,67;0;29;6,69;6;1;5;0
Ferguson;Bologna;17;21;"C;T";0;0;0;31;6,94;6;3;8;0
McTominay;Napoli;16;35;"M;C";0;0;0;NP;NP;NP;NP;NP;NP
Samardzic;Atalanta;16;29;T;2;5,75;0;33;6,74;6;2;3;0
Mkhitaryan;Inter;15;22;C;3;6,33;0;36;6,68;2;6;4;0
Ederson D.s.;Atalanta;15;34;"M;C";3;5,83;0;36;6,56;6;1;8;0
Pasalic;Atalanta;14;26;"C;T";3;4,83;0;33;6,89;6;6;3;0
Vlasic;Torino;14;20;T;0;0;0;33;6,3;3;2;3;0
Fabbian;Bologna;14;27;"C;T";2;8;1;22;6,86;5;1;4;0
Bernabe';Parma;14;22;"C;T";3;6,33;0;NP;NP;NP;NP;NP;NP
Harroui;Verona;13;18;"W;T";3;5,83;0;17;6,79;3;3;2;0
Suslov;Verona;13;19;"W;T";3;5,83;0;30;6,47;3;5;7;0
Zaniolo;Atalanta;12;14;"T;A";1;5;0;NP;NP;NP;NP;NP;NP
Strefezza;Como;12;15;W;3;6,17;0;19;5,87;1;0;4;0
Da Cunha;Como;12;15;"W;T";3;5,83;0;NP;NP;NP;NP;NP;NP
Reijnders;Milan;12;14;C;3;5,83;0;36;6,38;3;4;8;0
Lazovic;Verona;11;10;W;3;7,17;0;31;6,19;3;2;0;1
Pessina;Monza;11;21;"M;C";3;5,5;0;37;6,46;6;2;3;1
Zambo Anguissa;Napoli;11;13;"M;C";3;6,83;1;33;5,85;0;2;2;0
Malinovskyi;Genoa;11;13;"C;T";3;6;0;23;6,63;4;1;7;0
Frendrup;Genoa;11;20;"E;M";3;6;0;37;6,42;2;4;6;0
Conceicao;Juventus;11;11;"W;A";1;5,5;0;NP;NP;NP;NP;NP;NP
Zielinski;Inter;10;13;"C;T";0;0;0;27;6,33;3;2;1;0
Cristante;Roma;10;11;"M;C";3;6,17;0;37;6,35;3;4;8;0
Freuler;Bologna;10;11;"M;C";3;6,17;0;32;6,06;1;0;9;0
Fagioli;Juventus;10;9;"C;T";3;5,67;0;8;6,25;0;2;1;0
Chukwueze;Milan;10;18;"W;A";2;5,5;0;20;6,25;1;2;1;0
Maldini;Monza;10;15;"T;A";3;7;1;16;6,97;4;1;1;0
Messias;Genoa;10;13;"C;W";3;6,17;1;17;6,35;1;0;0;0
Thuram K.;Juventus;10;15;"M;C";1;6,5;0;NP;NP;NP;NP;NP;NP
Ndoye;Bologna;10;11;W;2;6;0;31;6,08;1;1;4;0
Aebischer;Bologna;10;10;"C;T";3;5,83;0;31;5,9;0;1;8;0
Lovric;Udinese;10;12;C;3;5,67;0;29;6,09;1;2;1;1
Le Fee;Roma;10;11;"C;T";2;6;0;NP;NP;NP;NP;NP;NP
Locatelli;Juventus;9;13;"M;C";3;6,33;0;35;5,94;1;4;6;0
Guendouzi;Lazio;9;8;C;3;5,5;0;33;6,21;2;3;3;1
Lobotka;Napoli;9;10;"M;C";3;5,5;0;38;5,91;0;1;4;0
Zurkowski;Empoli;9;12;"C;T";0;0;0;13;6,81;4;0;4;0
Castrovilli;Lazio;9;9;"C;T";0;0;0;5;7,3;1;2;0;0
Gyasi;Empoli;9;12;W;3;8,5;2;29;5,69;1;2;9;0
Ilic;Torino;9;14;C;3;7,5;1;28;6,38;3;1;3;0
Ricci S.;Torino;9;11;"M;C";3;6,17;0;30;5,87;1;0;6;1
Baldanzi;Roma;9;10;"T;A";2;6,75;0;24;6,27;2;0;3;0
Oristanio;Venezia;9;13;"W;T;A";3;5,5;0;24;6,38;2;1;1;0
Tete Morente;Lecce;9;8;W;3;5,67;0;NP;NP;NP;NP;NP;NP
Verdi;Como;8;10;"W;T";1;5;0;0;0;0;0;0;0
Duncan;Venezia;8;8;C;3;5,83;0;26;6,46;2;5;2;0
Sottil;Fiorentina;8;10;W;1;5,5;0;18;6,44;2;3;1;0
Gaetano;Cagliari;8;18;T;0;0;0;17;6,88;5;0;2;1
Kone' M.;Roma;8;10;"M;C";1;6;0;NP;NP;NP;NP;NP;NP
Tchaouna;Lazio;8;10;W;2;5,5;0;29;6,52;4;3;4;0
Richardson;Fiorentina;8;9;"M;C";1;6;0;NP;NP;NP;NP;NP;NP
De Roon;Atalanta;7;9;"M;C";3;5,33;0;30;5,97;0;5;10;0
Badelj;Genoa;7;5;"M;C";3;6,33;0;32;6,14;1;3;6;0
Vecino;Lazio;7;9;"M;C";2;5,75;0;25;6,78;6;1;8;0
El Shaarawy;Roma;7;9;W;0;0;0;29;6,4;3;2;2;0
Mandragora;Fiorentina;7;9;"M;C";2;5,25;0;30;6,28;3;3;5;0
Mazzitelli;Como;7;10;"M;C";2;5,5;0;29;6,52;5;0;4;1
Bennacer;Milan;7;9;"M;C";1;6,5;0;18;6,47;2;2;2;0
Duda;Verona;7;10;"M;C";3;6;0;32;5,98;1;5;10;2
Rovella;Lazio;7;6;"M;C";2;5,75;0;21;6,07;0;2;6;0
